ack__count,ap_deauth__count,beacon__count,class_3_frames__count,client_deauth__count,failure_assoc__count,frame__frequency,frame__loss_rate,max_consecutive_beacons__count,null_dataframe__count,rssi__mean,rssi__sd,success_assoc__count,associated_client,end__time_epoch,episode_duration,start__time_epoch
0,0,923,0,0,0,0.033346262752748976,0.0,0,0,-88.5,0.7071067811865476,0,80:6c:1b:d5:2b:ce,1431523236.919208,59.976736068725586,1431523176.942472
17,0,843,18,0,0,0.4708525349372742,0.0,0,2,-51.11538461538461,3.128282891004879,0,80:86:f2:71:c6:a9,1431523150.58059,55.21898698806763,1431523095.361603
178,0,1742,328,0,0,2.0258721913318074,0.02880658436213992,0,39,-55.46090534979424,6.2066275563494,0,80:86:f2:71:c6:a9,1431523270.532059,119.9483368396759,1431523150.583722
871,0,1460,3532,0,0,12.40842630103346,0.01544660846205507,0,32,-53.79852249832102,5.268691556615125,0,80:86:f2:71:c6:a9,1431523390.535513,119.99910092353821,1431523270.536412
78,0,976,65,0,0,1.821575556857219,0.0,0,3,-54.12820512820513,3.2682866478832753,0,80:86:f2:72:07:d1,1431523159.591714,64.23011088371277,1431523095.361603
196,0,1731,263,0,0,2.1928255585943868,0.026615969581749048,0,35,-54.00760456273764,3.4794844702786647,0,80:86:f2:72:07:d1,1431523279.531096,119.93658089637756,1431523159.594515
800,0,1427,2293,0,0,22.076152589197434,0.004530011325028313,0,42,-54.08154020385051,4.417778014065331,0,80:86:f2:72:07:d1,1431523399.540129,119.99373483657837,1431523279.546394
0,0,1606,0,0,0,0.027608818704975373,0.0,0,0,-58.333333333333336,1.5275252316519465,0,80:86:f2:72:33:d7,1431523204.022536,108.66093301773071,1431523095.361603
0,0,1723,0,0,0,0.016680873778595607,0.0,0,0,-56.0,0.0,0,80:86:f2:72:33:d7,1431523323.963963,119.89779591560364,1431523204.066167
0,0,1264,0,0,0,0.016664000282162975,0.0,0,0,-56.0,0.0,0,80:86:f2:72:33:d7,1431523443.985959,120.01920104026794,1431523323.966758
0,0,2137,14,0,0,0.11276692897270794,0.6875,0,1,-87.4375,1.459166428707386,0,88:32:9b:51:ae:39,1431523237.247173,141.8855700492859,1431523095.361603
0,0,233,33,0,0,2.025926669723392,0.6,0,17,-90.28571428571429,1.9936875171316057,0,88:32:9b:51:ae:39,1431523254.532646,17.276044845581055,1431523237.256601
0,0,61,44,0,0,10.499483509696097,0.5869565217391305,0,17,-89.1086956521739,2.601096015738709,0,88:32:9b:51:ae:39,1431523258.93339,4.381167888641357,1431523254.552222
2,0,288,2,0,0,0.1687822293751918,0.0,0,1,-80.33333333333333,6.350852961085883,0,90:00:4e:44:f2:19,1431523113.135986,17.774383068084717,1431523095.361603
77,0,1791,172,0,0,0.4000287418353379,0.08333333333333333,0,9,-78.1875,5.24163467274792,0,90:00:4e:44:f2:19,1431523233.130465,119.99137806892395,1431523113.139087
896,0,1608,1909,0,0,8.566190818771602,0.22211445198836083,0,9,-78.24345295829292,2.902609021805131,0,90:00:4e:44:f2:19,1431523353.490398,120.3568799495697,1431523233.133518
0,0,1565,2,0,0,0.05636974498107359,0.0,0,0,-63.666666666666664,5.680375574437544,0,98:0d:2e:72:0a:d7,1431523201.80168,106.44007706642151,1431523095.361603
0,0,2327,0,0,0,0.025615279817717194,0.0,0,0,-62.0,2.449489742783178,0,9c:e6:e7:63:cf:83,1431523251.518398,156.15679502487183,1431523095.361603
0,0,907,0,0,0,0.10045372100911822,0.0,0,0,-64.16666666666667,0.752772652709081,0,a0:88:b4:c4:02:ac,1431523155.0906,59.728996992111206,1431523095.361603
0,0,985,0,0,0,0.0910477289563307,0.0,0,0,-66.0,1.8973665961010275,0,a0:88:b4:c4:02:ac,1431523220.9932,65.89950203895569,1431523155.093698
0,0,955,0,0,0,0.08601440201368758,0.0,0,0,-68.16666666666667,1.4719601443879744,0,a0:88:b4:c4:02:ac,1431523290.763688,69.7557601928711,1431523221.007928
0,0,908,0,0,0,0.07168313652223969,0.0,0,0,-64.6,0.5477225575051661,0,a0:88:b4:c4:02:ac,1431523360.518155,69.75141215324402,1431523290.766743
0,0,677,0,0,0,0.0432966327316368,0.0,0,0,-65.0,1.0,0,a0:88:b4:c4:02:ac,1431523429.812231,69.28945302963257,1431523360.522778
